Unnamed: 0,LotArea,OverallQual,YearRemodAdd,ExterQual,KitchenQual,Fireplaces,GarageCars,MiscVal,TotSq,OutSq,TotBr,BsmtFinish,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,Foundation,BsmtExposure,CentralAir,Electrical,Functional,GarageType,GarageFinish,PavedDrive,MiscFeature,SaleType,SaleCondition
-1.7281172134579048,0.39465129489367246,-0.7706678581139706,-1.0841846482720336,-0.6891315541016856,-0.7779022898176491,-0.9033369371554343,-0.9920372488933931,-0.09079330590855192,-0.9594633760048824,0.45981662891905256,-1.4825295924413577,0.05791275625661246,2,1,1,3,3,0,4,0,12,1,2,0,2,1,3,1,3,6,1,3,2,1,8,4
-1.7257459724507302,0.9531273442830871,-0.06705685020159388,-1.226691172284673,-0.6891315541016856,0.7360795860640122,-0.9033369371554343,-0.9920372488933931,19.68083989722426,0.160131686441167,1.4931393730191793,-0.8808752062712103,0.4689797712545293,3,1,1,0,3,0,0,0,12,2,2,0,2,1,3,1,3,6,1,3,2,0,8,4
-1.7233747314435557,0.86085738829701,-0.7706678581139706,0.6733958145505174,-0.6891315541016856,-0.7779022898176491,0.6428000427512665,0.29627659540941703,-0.09079330590855192,0.0316327076831545,0.3742159282243675,0.3224335660690844,0.8800467862524461,3,1,1,0,3,0,4,0,8,2,2,0,4,2,3,1,3,6,1,0,2,1,8,4
-1.7210034904363813,0.04753045360966578,-0.06705685020159388,0.6733958145505174,-0.6891315541016856,0.7360795860640122,0.6428000427512665,0.29627659540941703,-0.09079330590855192,-0.002718504460076559,1.291366292810279,0.3224335660690844,0.8800467862524461,3,1,1,0,3,0,4,0,8,2,2,0,4,2,3,1,3,6,1,0,2,1,8,4
-1.7186322494292068,-1.0024889768680503,1.3401651656231597,0.3883827665252389,1.0224679147477846,0.7360795860640122,-0.9033369371554343,0.29627659540941703,-0.09079330590855192,0.0354495090324024,0.251929212946246,-0.27922082010106297,0.4689797712545293,3,1,1,0,1,0,4,0,22,2,2,4,2,2,3,1,3,6,1,2,2,1,8,4
-1.7162610084220324,0.05217562301857585,-0.06705685020159388,0.48338711586699845,-0.6891315541016856,-0.7779022898176491,0.6428000427512665,0.29627659540941703,-0.09079330590855192,-0.14521242149866465,0.3436442494048371,0.3224335660690844,-1.175288288737138,3,1,1,0,3,0,0,0,8,2,2,0,4,2,3,1,3,6,1,0,2,1,8,4
-1.7138897674148579,-0.3743353863449847,-0.06705685020159388,1.1009153865884354,-0.6891315541016856,-0.7779022898176491,-0.9033369371554343,0.29627659540941703,0.7000720222167605,-0.22536524983287046,1.951714555312135,0.9240879522392318,0.4689797712545293,3,1,1,0,3,0,4,0,8,2,2,0,2,2,3,1,3,6,1,0,2,3,8,4
-1.7115185264076835,-0.285232591319528,-0.06705685020159388,0.6733958145505174,-0.6891315541016856,-0.7779022898176491,0.6428000427512665,0.29627659540941703,-0.09079330590855192,-0.35386422859088296,-0.6713354874035715,0.3224335660690844,-1.175288288737138,3,1,1,0,3,0,4,0,8,2,2,0,4,2,3,1,3,6,1,0,2,1,8,4
-1.709147285400509,0.08933697828985637,0.6365541577107828,0.2933784171834794,-0.6891315541016856,0.7360795860640122,0.6428000427512665,0.29627659540941703,-0.09079330590855192,0.13850314546209558,0.044041796973439414,0.3224335660690844,0.8800467862524461,3,1,1,3,3,0,4,0,8,2,2,0,2,2,1,1,3,6,1,3,2,1,8,4
-1.7067760443933344,-0.2856548794476107,-1.4742788660263473,-0.6566650762341159,-0.6891315541016856,-0.7779022898176491,-0.9033369371554343,0.29627659540941703,-0.09079330590855192,-0.9772751156347058,0.33752991364093105,-0.27922082010106297,1.291113801250363,3,1,1,3,3,0,0,0,12,2,2,0,2,1,3,1,3,6,1,0,2,1,8,4
-1.70440480338616,-0.8223830902407646,0.6365541577107828,0.7208979892213973,1.0224679147477846,0.7360795860640122,0.6428000427512665,0.29627659540941703,-0.09079330590855192,0.26700212422010805,0.5270743223220195,0.9240879522392318,2.1132478312461966,2,1,1,0,3,0,2,0,12,2,2,4,2,2,3,1,3,6,1,0,2,1,8,4
-1.7020335623789855,-1.7045429898055944,-0.06705685020159388,-0.6091629015632362,-0.6891315541016856,-0.7779022898176491,-0.9033369371554343,-0.9920372488933931,-0.09079330590855192,-1.3513216478609997,0.5515316653776438,-0.8808752062712103,-0.35315425874130435,4,1,1,3,3,0,4,0,2,2,2,3,4,1,3,1,3,6,5,3,2,1,0,4
-1.6996623213718112,-1.7045429898055944,-0.7706678581139706,-0.6091629015632362,-0.6891315541016856,-0.7779022898176491,-0.9033369371554343,-0.9920372488933931,-0.09079330590855192,-1.1642983817478527,-1.129910669696527,-0.8808752062712103,-0.35315425874130435,4,1,1,3,3,0,4,0,2,2,2,3,4,1,3,1,3,6,5,3,2,1,8,4
-1.6972910803646366,-1.5778565513807743,-0.06705685020159388,-0.41915420287971705,-0.6891315541016856,0.7360795860640122,0.6428000427512665,0.29627659540941703,-0.09079330590855192,-0.28134500295517295,-0.07213058254077603,0.3224335660690844,0.4689797712545293,3,1,1,3,3,0,2,0,13,2,2,3,4,1,3,1,3,6,1,3,2,1,8,4
-1.694919839357462,-1.5778565513807743,0.6365541577107828,-0.41915420287971705,-0.6891315541016856,-0.7779022898176491,-0.9033369371554343,-0.9920372488933931,-0.09079330590855192,-1.0943236903449747,-0.9464805967793449,-1.4825295924413577,-1.175288288737138,3,1,1,3,3,0,2,0,13,2,2,3,2,1,3,1,3,6,1,3,2,1,8,4
-1.6925485983502877,0.6556253580488016,2.0437761735355364,1.2434219106010747,2.734067383597255,2.250061461945674,0.6428000427512665,1.584590439712227,-0.09079330590855192,1.770821855823779,0.5637603369054559,0.3224335660690844,-1.175288288737138,3,1,1,0,3,0,4,0,16,2,2,0,4,2,3,1,3,6,1,0,2,1,6,5
-1.6901773573431131,0.6609039596498357,1.3401651656231597,1.2434219106010747,1.0224679147477846,0.7360795860640122,-0.9033369371554343,1.584590439712227,-0.09079330590855192,0.707206546500032,-0.9159089179598146,-0.27922082010106297,-1.175288288737138,3,1,1,0,3,0,0,0,16,2,2,0,2,2,3,1,3,6,1,2,2,1,6,5
-1.6878061163359388,0.3731146003614531,2.0437761735355364,1.0059110372466757,1.0224679147477846,2.250061461945674,0.6428000427512665,1.584590439712227,-0.09079330590855192,1.0990648183561493,0.496502643502489,-0.27922082010106297,0.8800467862524461,3,1,1,3,3,0,4,0,16,4,2,0,2,2,3,1,3,6,1,0,2,1,8,4
-1.6854348753287642,0.922511454997089,1.3401651656231597,1.0534132119175557,1.0224679147477846,2.250061461945674,0.6428000427512665,1.584590439712227,-0.09079330590855192,1.4145870632273085,-0.4023047137917041,-0.27922082010106297,0.8800467862524461,3,1,1,0,3,0,4,0,16,2,2,0,2,2,3,1,3,6,1,2,2,1,8,4
-1.68306363432159,0.9600950983964522,2.0437761735355364,0.958408862575796,2.734067383597255,2.250061461945674,2.188937022657967,1.584590439712227,-0.09079330590855192,3.8293500501848103,1.132393562948721,1.5257423384093791,0.8800467862524461,3,1,1,3,1,0,4,1,16,2,2,0,2,2,1,1,3,6,1,0,2,1,8,4
-1.6806923933144153,0.822851456769564,1.3401651656231597,0.8634045132340366,1.0224679147477846,0.7360795860640122,0.6428000427512665,1.584590439712227,-0.09079330590855192,1.767005054474531,1.1201648914209088,1.5257423384093791,0.8800467862524461,3,1,1,3,3,0,0,0,16,2,2,0,4,2,1,1,3,6,1,0,2,1,8,4
-1.6783211523072408,-0.5533855526520636,1.3401651656231597,1.0534132119175557,1.0224679147477846,0.7360795860640122,0.6428000427512665,0.29627659540941703,-0.09079330590855192,0.26445758998727614,-0.09658792559640034,-0.27922082010106297,0.8800467862524461,3,1,1,0,3,0,4,0,16,2,2,4,2,2,2,1,3,6,1,2,2,1,8,4
-1.6759499113000664,1.8456333029859437,-0.06705685020159388,1.0059110372466757,1.0224679147477846,0.7360795860640122,-0.9033369371554343,0.29627659540941703,-0.09079330590855192,0.14740901527700734,-0.7691648596260687,-0.27922082010106297,-1.175288288737138,3,1,1,0,3,0,0,0,8,2,2,0,2,2,3,1,3,6,1,0,2,1,8,4
-1.6735786702928919,-1.382970580270593,0.6365541577107828,1.0534132119175557,1.0224679147477846,0.7360795860640122,-0.9033369371554343,0.29627659540941703,-0.09079330590855192,-0.3080626123999082,0.19078585530718523,-0.27922082010106297,0.8800467862524461,3,1,1,3,3,0,4,0,0,2,2,4,2,2,0,1,3,6,1,0,2,1,8,4
-1.6712074292857175,0.7489510343550856,0.6365541577107828,0.958408862575796,1.0224679147477846,0.7360795860640122,0.6428000427512665,0.29627659540941703,-0.09079330590855192,-0.9849087183332017,-0.5184770933059195,1.5257423384093791,0.8800467862524461,3,1,1,0,3,0,4,0,8,2,2,0,6,2,3,1,3,6,3,0,2,1,8,4
-1.668836188278543,-0.24828238011228884,0.6365541577107828,0.958408862575796,1.0224679147477846,0.7360795860640122,0.6428000427512665,0.29627659540941703,-0.09079330590855192,0.060894851360721695,0.044041796973439414,0.3224335660690844,-1.175288288737138,3,1,1,0,3,0,4,0,8,2,2,0,4,2,3,1,3,6,3,0,2,1,8,4
-1.6664649472713684,1.6216094510380539,1.3401651656231597,0.6733958145505174,1.0224679147477846,0.7360795860640122,0.6428000427512665,1.584590439712227,-0.09079330590855192,1.9998299367786525,1.627654759825113,0.3224335660690844,-1.175288288737138,3,1,1,1,3,0,1,0,15,2,2,0,4,2,3,1,3,6,1,0,2,1,8,4
-1.664093706264194,-0.16171331385532853,1.3401651656231597,1.0534132119175557,1.0224679147477846,0.7360795860640122,0.6428000427512665,1.584590439712227,-0.09079330590855192,0.8369777923744605,-0.24944631969405223,-0.27922082010106297,-1.175288288737138,3,1,1,3,3,0,4,0,21,2,2,0,2,2,4,1,3,6,1,2,2,1,8,4
-1.6617224652570195,-0.11357246725389694,0.6365541577107828,1.2434219106010747,1.0224679147477846,0.7360795860640122,-0.9033369371554343,0.29627659540941703,-0.09079330590855192,-0.12231161340317728,-0.29836100580530084,-0.27922082010106297,-1.175288288737138,1,1,1,3,3,0,4,0,21,2,2,0,2,2,3,1,3,6,1,2,2,1,6,5
-1.6593512242498452,0.14507901119677716,-0.06705685020159388,1.0059110372466757,1.0224679147477846,0.7360795860640122,0.6428000427512665,0.29627659540941703,-0.09079330590855192,0.5138219448048053,0.814448103225605,0.9240879522392318,0.8800467862524461,1,1,1,3,3,0,0,0,21,2,2,0,2,2,3,1,3,6,1,0,2,1,8,4
-1.6569799832426706,0.45757222597799974,0.6365541577107828,0.958408862575796,1.0224679147477846,0.7360795860640122,-0.9033369371554343,0.29627659540941703,-0.09079330590855192,-0.05360918911671517,0.16632851225156092,0.3224335660690844,-1.175288288737138,3,1,1,3,3,0,4,0,20,2,2,0,4,2,0,1,3,6,1,2,2,1,8,4
-1.6546087422354963,0.009946810210302526,-0.7706678581139706,-1.6067085696517112,-0.6891315541016856,-0.7779022898176491,-0.9033369371554343,-0.9920372488933931,-0.09079330590855192,-0.8958500201840841,0.0990708188485941,-1.4825295924413577,-1.175288288737138,2,1,1,3,3,0,0,0,20,1,2,0,2,0,3,0,0,6,5,3,2,1,8,4
-1.6522375012283217,1.1944650094823692,-0.06705685020159388,0.8634045132340366,-0.6891315541016856,-0.7779022898176491,2.188937022657967,0.29627659540941703,-0.09079330590855192,0.21611143956346945,1.8171991685062012,0.9240879522392318,2.1132478312461966,3,1,1,0,3,0,1,0,19,7,2,0,2,1,1,1,3,6,1,0,2,1,8,0
-1.6498662602211471,0.7158014163005911,1.3401651656231597,0.4358849411961187,1.0224679147477846,0.7360795860640122,0.6428000427512665,1.584590439712227,-0.09079330590855192,1.3331619677766868,-0.13938827594374287,1.5257423384093791,1.291113801250363,3,1,1,0,3,0,4,0,15,2,2,0,4,2,3,1,3,6,1,2,2,1,8,4
-1.6474950192139728,0.2916129916414856,1.3401651656231597,0.4358849411961187,1.0224679147477846,0.7360795860640122,0.6428000427512665,1.584590439712227,-0.09079330590855192,1.3776913168512457,0.26415788447405814,1.5257423384093791,0.8800467862524461,3,1,1,3,3,0,4,0,15,2,2,0,4,2,3,1,3,6,1,2,2,1,8,4
-1.6451237782067982,-1.0383834677550827,0.6365541577107828,1.0059110372466757,1.0224679147477846,0.7360795860640122,0.6428000427512665,0.29627659540941703,-0.09079330590855192,0.5647126294614438,0.20301452683499738,0.9240879522392318,0.8800467862524461,1,1,1,0,3,0,1,0,21,2,2,4,2,2,0,1,3,6,1,0,2,1,8,4
-1.6427525371996239,-1.3170936322896867,0.6365541577107828,0.958408862575796,1.0224679147477846,0.7360795860640122,-0.9033369371554343,0.29627659540941703,-0.09079330590855192,-0.015441175624236211,-0.45121939990295273,0.3224335660690844,-1.175288288737138,1,1,2,3,3,0,4,0,21,2,2,4,4,2,3,1,3,6,1,2,2,1,8,4
-1.6403812961924493,-1.3804368515020966,0.6365541577107828,0.958408862575796,1.0224679147477846,0.7360795860640122,-0.9033369371554343,0.29627659540941703,-0.09079330590855192,-0.9314734994437311,-0.07824491830468211,0.3224335660690844,0.8800467862524461,1,1,2,3,3,0,4,0,21,2,2,4,4,2,0,1,3,6,5,2,2,1,3,4
